iteration,problem instance,problem seed,algorithm seed,starting fitness,ensemble number,fitness,number of runs,heuristics
4,3,1004,1004,0.11641837499999985,0,0.05662803225806434,12,"[211, 82, 302, 152, 235]"
5,3,1005,1005,0.13412858461538446,0,0.056372387096773724,8,"[211, 82, 302, 152, 235]"
6,3,1006,1006,0.09198606349206373,0,0.05907425806451605,9,"[211, 82, 302, 152, 235]"
7,3,1007,1007,0.09112968253968223,0,0.08420126984126974,5,"[211, 82, 302, 152, 235]"
8,3,1008,1008,0.08741273015873019,0,0.058083419354838406,5,"[211, 82, 302, 152, 235]"
9,3,1009,1009,0.11420324999999998,0,0.08632063492063513,3,"[211, 82, 302, 152, 235]"
10,3,1010,1010,0.11557346874999974,0,0.05388038709677423,8,"[211, 82, 302, 152, 235]"
11,3,1011,1011,0.09003146031746001,0,0.05488332258064543,7,"[211, 82, 302, 152, 235]"
12,3,1012,1012,0.11486806249999981,0,0.05672790322580623,5,"[211, 82, 302, 152, 235]"
13,3,1013,1013,0.1358658769230766,0,0.058546516129031945,5,"[211, 82, 302, 152, 235]"
14,3,1014,1014,0.09019422222222229,0,0.06248432258064518,4,"[211, 82, 302, 152, 235]"
15,3,1015,1015,0.11455121874999996,0,0.05344580645161312,6,"[211, 82, 302, 152, 235]"
16,3,1016,1016,0.11380396874999998,0,0.05833464516129061,7,"[211, 82, 302, 152, 235]"
17,3,1017,1017,0.1428899999999994,0,0.058604483870967616,7,"[211, 82, 302, 152, 235]"
18,3,1018,1018,0.11334903125000007,0,0.08132733333333342,4,"[211, 82, 302, 152, 235]"
19,3,1019,1019,0.1357448,0,0.03264537704918047,10,"[211, 82, 302, 152, 235]"
20,3,1020,1020,0.0907485714285714,0,0.06267519354838746,4,"[211, 82, 302, 152, 235]"
21,3,1021,1021,0.09077587301587298,0,0.058690096774193456,11,"[211, 82, 302, 152, 235]"
22,3,1022,1022,0.13812199999999974,0,0.06089487096774204,8,"[211, 82, 302, 152, 235]"
23,3,1023,1023,0.13539898461538447,0,0.06277319354838706,4,"[211, 82, 302, 152, 235]"
24,3,1024,1024,0.11272499999999996,0,0.05309803225806475,12,"[211, 82, 302, 152, 235]"
25,3,1025,1025,0.11600931250000013,0,0.08295812698412686,4,"[211, 82, 302, 152, 235]"
26,3,1026,1026,0.13785664615384619,0,0.061542483870967835,12,"[211, 82, 302, 152, 235]"
27,3,1027,1027,0.09187053968253911,0,0.0825877777777776,4,"[211, 82, 302, 152, 235]"
28,3,1028,1028,0.1156957812499998,0,0.06176148387096758,8,"[211, 82, 302, 152, 235]"
29,3,1029,1029,0.11619749999999995,0,0.051739870967741686,10,"[211, 82, 302, 152, 235]"
30,3,1030,1030,0.13636636923076872,0,0.059927032258064394,7,"[211, 82, 302, 152, 235]"
31,3,1031,1031,0.11332978124999993,0,0.05903541935483869,11,"[211, 82, 302, 152, 235]"
32,3,1032,1032,0.11122818749999974,0,0.08285892063492051,5,"[211, 82, 302, 152, 235]"
33,3,1033,1033,0.11297396874999976,0,0.06230864516129042,4,"[211, 82, 302, 152, 235]"
34,3,1034,1034,0.11203418749999983,0,0.08228971428571408,3,"[211, 82, 302, 152, 235]"
35,3,1035,1035,0.13598381538461535,0,0.05345054838709673,9,"[211, 82, 302, 152, 235]"
36,3,1036,1036,0.11190609374999994,0,0.060443129032258125,6,"[211, 82, 302, 152, 235]"
37,3,1037,1037,0.13893960000000016,0,0.05682499999999968,7,"[211, 82, 302, 152, 235]"
38,3,1038,1038,0.09122250793650799,0,0.08111390476190483,5,"[211, 82, 302, 152, 235]"
39,3,1039,1039,0.11273199999999983,0,0.060801645161290496,9,"[211, 82, 302, 152, 235]"
40,3,1040,1040,0.11482381249999996,0,0.062108806451612986,5,"[211, 82, 302, 152, 235]"
41,3,1041,1041,0.16095278787878786,0,0.05881045161290299,4,"[211, 82, 302, 152, 235]"
42,3,1042,1042,0.09187761904761904,0,0.05762096774193548,13,"[211, 82, 302, 152, 235]"
43,3,1043,1043,0.0898443809523809,0,0.08083422222222203,4,"[211, 82, 302, 152, 235]"
44,3,1044,1044,0.09108469841269828,0,0.05566625806451597,11,"[211, 82, 302, 152, 235]"
45,3,1045,1045,0.09150739682539677,0,0.06180987096774215,3,"[211, 82, 302, 152, 235]"
46,3,1046,1046,0.11481615624999986,0,0.058090258064516176,7,"[211, 82, 302, 152, 235]"
47,3,1047,1047,0.11318668750000005,0,0.081735142857143,4,"[211, 82, 302, 152, 235]"
48,3,1048,1048,0.1123863749999996,0,0.057024806451612564,7,"[211, 82, 302, 152, 235]"
49,3,1049,1049,0.11695409374999977,0,0.061336774193548105,10,"[211, 82, 302, 152, 235]"
0,4,1000,1000,0.04927130647130806,0,0.021638826931020705,31,"[211, 82, 302, 152, 235]"
1,4,1001,1001,0.04774065934066085,0,0.014754063018242891,51,"[211, 82, 302, 152, 235]"
2,4,1002,1002,0.04797704517704682,0,0.027978765432098873,21,"[211, 82, 302, 152, 235]"
3,4,1003,1003,0.050490354090355294,0,0.04875099715099873,4,"[211, 82, 302, 152, 235]"
4,4,1004,1004,0.04853479853480025,0,0.034361131611316376,11,"[211, 82, 302, 152, 235]"
5,4,1005,1005,0.043598529411766895,0,0.04060310457516492,9,"[211, 82, 302, 152, 235]"
6,4,1006,1006,0.04359558823529586,0,0.02765810699588489,27,"[211, 82, 302, 152, 235]"
7,4,1007,1007,0.0435848039215706,0,0.035402214022141276,14,"[211, 82, 302, 152, 235]"
8,4,1008,1008,0.047908669108670865,0,0.03539926199261978,14,"[211, 82, 302, 152, 235]"
9,4,1009,1009,0.04350016339869478,0,0.021381743081371862,28,"[211, 82, 302, 152, 235]"
10,4,1010,1010,0.049387545787547005,0,0.04060245098039317,18,"[211, 82, 302, 152, 235]"
11,4,1011,1011,0.05055417175417343,0,0.041425326797387196,12,"[211, 82, 302, 152, 235]"
12,4,1012,1012,0.04789369149369305,0,0.028983539094650346,17,"[211, 82, 302, 152, 235]"
13,4,1013,1013,0.04818770858770993,0,0.02828362139917684,28,"[211, 82, 302, 152, 235]"
14,4,1014,1014,0.04872397232397441,0,0.03356965969659731,15,"[211, 82, 302, 152, 235]"
15,4,1015,1015,0.049635002035003595,0,0.028581563786009068,28,"[211, 82, 302, 152, 235]"
16,4,1016,1016,0.04803467643467796,0,0.021116067740603373,27,"[211, 82, 302, 152, 235]"
17,4,1017,1017,0.04784843304843467,0,0.042098202614380575,6,"[211, 82, 302, 152, 235]"
18,4,1018,1018,0.04911306471306642,0,0.03358966789667894,20,"[211, 82, 302, 152, 235]"
19,4,1019,1019,0.04785982905983055,0,0.034760311603116434,15,"[211, 82, 302, 152, 235]"
20,4,1020,1020,0.04989483109483239,0,0.048365160765162285,2,"[211, 82, 302, 152, 235]"
21,4,1021,1021,0.04947806267806398,0,0.04060931372549115,8,"[211, 82, 302, 152, 235]"
